Year,County,Acres Burned,Poverty Rate
2013,Alameda,478.0,
2015,Alameda,3340.0,
2016,Alameda,211.0,
2017,Alameda,537.0,
2018,Alameda,1288.0,
2019,Alameda,533.0,
2015,Alpine,0.0,
2016,Alpine,0.0,
2013,Amador,96.0,
2014,Amador,4240.0,
2015,Amador,415.0,
2016,Amador,672.0,
2017,Amador,10.0,
2018,Amador,842.0,
2019,Amador,10.0,
2013,Butte,3459.0,
2014,Butte,521.0,
2015,Butte,2553.0,
2016,Butte,1965.0,
2017,Butte,25618.0,
2018,Butte,155553.0,
2019,Butte,1033.0,
2013,Calaveras,77.0,
2014,Calaveras,205.0,
2015,Calaveras,114.0,
2016,Calaveras,1309.0,
2017,Calaveras,343.0,
2018,Calaveras,506.0,
2019,Calaveras,94.0,
2013,Colusa,28.0,
2017,Colusa,70.0,
2018,Colusa,459198.0,
2019,Colusa,20.0,
2013,Contra Costa,3877.0,
2014,Contra Costa,80.0,
2015,Contra Costa,195.0,
2016,Contra Costa,40.0,
2017,Contra Costa,621.0,
2018,Contra Costa,754.0,
2019,Contra Costa,1317.0,
2015,Del Norte,37870.0,
2016,Del Norte,150.0,
2017,Del Norte,387.0,
2013,El Dorado,889.0,
2014,El Dorado,102101.0,
2015,El Dorado,135.0,
2016,El Dorado,5922.0,
2017,El Dorado,1147.0,
2018,El Dorado,611.0,
2019,El Dorado,3606.0,
2013,Fresno,23411.0,
2014,Fresno,171.0,
2015,Fresno,151898.0,
2016,Fresno,15580.0,
2017,Fresno,22809.0,
2018,Fresno,259.0,
2019,Fresno,283.0,
2013,Glenn,443.0,
2017,Glenn,0.0,
2018,Glenn,412695.0,
2019,Glenn,63.0,
2013,Humboldt,12503.0,
2014,Humboldt,598.0,
2015,Humboldt,5223.0,
2016,Humboldt,643.0,
2017,Humboldt,228.0,
2018,Humboldt,3700.0,
2019,Humboldt,30.0,
2013,Inyo,406.0,
2014,Inyo,178.0,
2015,Inyo,7000.0,
2016,Inyo,5473.0,
2018,Inyo,6556.0,
2019,Inyo,12271.0,
2013,Kern,6464.0,
2014,Kern,9690.0,
2015,Kern,279.0,
2016,Kern,81371.0,
2017,Kern,13080.0,
2018,Kern,5108.0,
2019,Kern,3472.0,
2017,Kings,51221.0,
2018,Kings,2995.0,
2019,Kings,161.0,
2013,Lake,710.0,
2014,Lake,4575.0,
2015,Lake,95491.0,
2016,Lake,4339.0,
2017,Lake,2775.0,
2018,Lake,474693.0,
2019,Lake,201.0,
2013,Lassen,97.0,
2015,Lassen,10811.0,
2016,Lassen,2617.0,
2017,Lassen,110006.0,
2018,Lassen,20289.0,
2019,Lassen,7977.0,
2013,Los Angeles,31503.0,
2014,Los Angeles,2416.0,
2015,Los Angeles,1289.0,
2016,Los Angeles,11488.0,
2017,Los Angeles,31190.0,
2018,Los Angeles,102232.0,
2019,Los Angeles,14462.0,
2013,Madera,937.0,
2014,Madera,14780.0,
2015,Madera,7257.0,
2016,Madera,306.0,
2017,Madera,15772.0,
2018,Madera,5240.0,
2019,Madera,213.0,
2017,Marin,73.0,
2018,Marin,209.0,
2019,Marin,67.0,
2013,Mariposa,1708.0,
2014,Mariposa,12128.0,
2015,Mariposa,500.0,
2017,Mariposa,98706.0,
2018,Mariposa,97131.0,
2019,Mariposa,7679.0,
2013,Mendocino,240.0,
2014,Mendocino,13001.0,
2015,Mendocino,335.0,
2016,Mendocino,86.0,
2017,Mendocino,37589.0,
2018,Mendocino,460393.0,
2019,Mendocino,1068.0,
2013,Merced,124.0,
2014,Merced,300.0,
2015,Merced,3058.0,
2016,Merced,1276.0,
2017,Merced,1812.0,
2018,Merced,6861.0,
2019,Merced,210.0,
2019,Mexico,1532.0,
2013,Modoc,667.0,
2014,Modoc,16374.0,
2015,Modoc,5099.0,
2016,Modoc,3032.0,
2017,Modoc,92281.0,
2018,Modoc,41554.0,
2019,Modoc,20185.0,
2015,Mono,11185.0,
2016,Mono,3591.0,
2017,Mono,9295.0,
2018,Mono,6974.0,
2019,Mono,4840.0,
2013,Monterey,1235.0,
2014,Monterey,5315.0,
2015,Monterey,1181.0,
2016,Monterey,138770.0,
2017,Monterey,2212.0,
2018,Monterey,4123.0,
2019,Monterey,3730.0,
2013,Napa,641.0,
2014,Napa,4333.0,
2015,Napa,25211.0,
2016,Napa,65.0,
2017,Napa,145123.0,
2018,Napa,92935.0,
2019,Napa,640.0,
2013,Nevada,52.0,
2014,Nevada,369.0,
2015,Nevada,2334.0,
2016,Nevada,85.0,
2017,Nevada,1343.0,
2018,Nevada,16.0,
2019,Nevada,2.0,
2013,Orange,40.0,
2014,Orange,968.0,
2015,Orange,214.0,
2016,Orange,197.0,
2017,Orange,11879.0,
2018,Orange,23466.0,
2013,Placer,27677.0,
2014,Placer,593.0,
2015,Placer,136.0,
2016,Placer,5903.0,
2018,Placer,1820.0,
2019,Placer,1199.0,
2013,Plumas,513.0,
2015,Plumas,137.0,
2016,Plumas,248.0,
2017,Plumas,8170.0,
2018,Plumas,137.0,
2019,Plumas,54612.0,
2013,Riverside,53919.0,
2014,Riverside,630.0,
2015,Riverside,1928.0,
2016,Riverside,1822.0,
2017,Riverside,16576.0,
2018,Riverside,15615.0,
2019,Riverside,6872.0,
2013,Sacramento,163.0,
2015,Sacramento,110.0,
2016,Sacramento,159.0,
2017,Sacramento,1389.0,
2018,Sacramento,30.0,
